dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
FROZEN POTATO,2013,Hyper+Super Markets,FOOD - FROZEN,<0,31193.147,39881.783,4561.503785,-1157.256172,130,21,25,162,-7454.644215,5718.759957,162,159,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2013,Hyper+Super Markets,FOOD - FROZEN,>1,17292434.14,7074800.01,8892180.634,4034917.641,30213,5779,8153,30406,1195113.469,4857262.993,30406,13917,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2014,Hyper+Super Markets,FOOD - FROZEN,,77185782.72,76827436.28,296316.1882,296316.1882,0,0,0,0,0,0,512626,9370,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2014,Hyper+Super Markets,FOOD - FROZEN,0-1,13239604.46,9697961.706,5882541.813,2040097.32,31139,3112,4704,31339,-782298.5131,3842444.493,31339,12083,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2014,Hyper+Super Markets,FOOD - FROZEN,<0,26427.936,35467.589,2604.922856,-1545.048601,122,25,35,154,-6467.544359,4149.971457,154,152,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2014,Hyper+Super Markets,FOOD - FROZEN,>1,16679681.17,6807082.934,8635937.377,3914334.479,31007,5637,7760,31242,1149898.82,4721602.898,31242,13507,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2015,Hyper+Super Markets,FOOD - FROZEN,,76510607.44,76175251.85,295289.1829,295289.1829,0,0,0,0,0,0,495768,9935,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2015,Hyper+Super Markets,FOOD - FROZEN,0-1,12702690.76,9553495.629,5442655.97,1862166.664,31528,2882,4580,31723,-787239.3092,3580489.306,31723,12006,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2015,Hyper+Super Markets,FOOD - FROZEN,<0,21621.921,26817.597,2509.769113,-757.9575804,120,24,18,144,-4404.663064,3267.726694,144,144,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FROZEN POTATO,2015,Hyper+Super Markets,FOOD - FROZEN,>1,14939224.35,6094198.43,7722488.148,3504070.121,28797,5480,7366,29019,1037687.154,4218418.027,29019,13081,-2.615658169,-1.660217327,0.443656718,0.256168558,0.253953355
FRUIT COMPOTE AMBIENT,2013,Hyper+Super Markets,FOOD - AMBIENT,,58703391.48,58282270.55,243204.8539,243204.8539,0,0,0,0,0,0,862287,17641,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2013,Hyper+Super Markets,FOOD - AMBIENT,0-1,6238610.092,5156225.659,1927872.067,610762.0795,35158,5379,6049,35791,-400966.868,1317109.987,35791,17943,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2013,Hyper+Super Markets,FOOD - AMBIENT,<0,46486.724,60093.473,5795.914214,-2041.443747,620,86,68,719,-10899.52358,7837.357961,719,692,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2013,Hyper+Super Markets,FOOD - AMBIENT,>1,18244530.45,7456545.071,8139605.524,3882204.944,49171,10151,16718,49726,1565906.836,4257400.58,49726,24209,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2014,Hyper+Super Markets,FOOD - AMBIENT,,62759656.57,62333556.94,259127.7718,259127.7718,0,0,0,0,0,0,886417,18953,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2014,Hyper+Super Markets,FOOD - AMBIENT,0-1,7947662.463,6415520.934,2615344.989,852180.6037,40211,5170,6764,40717,-484893.4803,1763164.386,40717,19272,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2014,Hyper+Super Markets,FOOD - AMBIENT,<0,42874.346,52143.533,5151.364055,-1231.236185,567,70,70,661,-8229.454518,6382.60024,661,646,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2014,Hyper+Super Markets,FOOD - AMBIENT,>1,20986986.95,8655474.676,9555671.32,4503556.24,54039,11476,19231,54563,1703219.28,5052115.08,54563,25867,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2015,Hyper+Super Markets,FOOD - AMBIENT,,70739083.53,70339206.83,265080.1801,265080.1801,0,0,0,0,0,0,929251,18944,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2015,Hyper+Super Markets,FOOD - AMBIENT,0-1,8926702.674,7476387.481,2521441.956,792056.3018,41149,4476,6442,41614,-541301.2016,1729385.654,41614,18868,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2015,Hyper+Super Markets,FOOD - AMBIENT,<0,49875.171,59916.548,6305.254735,-1294.411266,432,78,84,532,-9541.282902,7599.666002,532,524,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE AMBIENT,2015,Hyper+Super Markets,FOOD - AMBIENT,>1,20987208.72,9019917.199,9221849.172,4343328.104,51463,9758,17501,51916,1636471.088,4878521.068,51916,24596,-2.143675889,-1.571708952,0.372023282,0.176115642,0.205255547
FRUIT COMPOTE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,,10429406.22,10475460.03,93817.66815,93817.66815,0,0,0,0,0,0,71479,2475,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,0-1,1795930.932,1460735.134,597514.1938,192900.7974,3697,88,54,3709,-115262.2002,404613.3964,3709,1537,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,<0,2266.815,2684.655,276.5920014,-50.2397467,8,4,1,13,-402.1913681,326.8317481,13,13,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2013,Hyper+Super Markets,FOOD - PERISHABLE,>1,1307749.782,713143.222,485356.2353,223216.1591,1832,40,40,1834,72684.16244,262140.0762,1834,921,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,,11360652.94,11420409.76,14002.12882,14002.12882,0,0,0,0,0,0,73851,2385,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,0-1,1725734.306,1396717.326,632238.1268,202928.0105,3476,142,118,3491,-124918.1005,429310.1163,3491,1582,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,<0,4108.633,5098.491,646.0484477,-84.05193056,12,6,3,19,-856.1782741,730.1003783,19,18,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2014,Hyper+Super Markets,FOOD - PERISHABLE,>1,794814.02,436240.096,309957.7558,139195.0149,1517,34,83,1518,38029.78158,170762.7408,1518,864,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,,12928945.04,12958350,26757.3728,26757.3728,0,0,0,0,0,0,72639,2463,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,0-1,2222321.572,1818536.604,735778.3479,232984.1816,3442,93,144,3450,-153317.8938,502794.1662,3450,1568,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,<0,17233.556,19430.66,2583.316757,-111.5984342,8,4,3,15,-2862.312842,2694.915191,15,15,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT COMPOTE FRESH,2015,Hyper+Super Markets,FOOD - PERISHABLE,>1,1141760.366,584887.14,450003.3488,206993.0776,1695,30,155,1699,67479.34519,243010.2712,1699,933,-1.900389824,-1.498050725,0.100151382,0.182352084,0.293725557
FRUIT JUICE AMBIENT,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,320630037.8,316610034.2,1998980.31,1998980.31,0,0,0,0,0,0,3331581,67951,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,53395848.02,38094943.91,24026923.99,8467908.346,175533,26155,40470,177776,-2857153.13,15559015.65,177776,84351,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,238450.474,309238.405,28532.92823,-10810.27126,1513,187,264,1792,-55558.60636,39343.19948,1792,1761,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,156085003.9,52401783.18,87966835.51,40498412.15,330992,89696,120457,333884,13279194.87,47468423.36,333884,147984,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,320735091.7,317137713.7,1870684.827,1870684.827,0,0,0,0,0,0,3375631,66899,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,53873453.23,40113516.59,22042089.28,7620855.325,186494,24153,38800,188358,-2989950.967,14421233.95,188358,85102,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,251751.182,322924.016,31668.59662,-10286.99305,1461,237,314,1811,-57386.07924,41955.58967,1811,1778,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,146361528.8,50552231.06,81346618.11,37410063.64,326831,81702,115042,329510,12178541,43936554.47,329510,142721,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,343171826.3,339370781.9,2007640.332,2007640.332,0,0,0,0,0,0,3466940,72164,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,55591314.16,41181075.89,22993969.32,7989120.777,193966,23040,38142,195809,-3021167.374,15004848.54,195809,84986,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,218489.645,274696.886,26984.97646,-8315.311323,1251,220,278,1565,-47773.25477,35300.28778,1565,1530,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE AMBIENT,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,133859072.1,47937460.58,73871154.5,33783291.79,304722,72837,102699,307429,10587074.98,40087862.71,307429,133979,-3.03910165,-1.982110518,0.413446476,0.295477404,0.229685561
FRUIT JUICE FRESH,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,18894609.98,18870336.15,49778.16484,49778.16484,0,0,0,0,0,0,202583,4666,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,3348133.147,2685320.329,1209967.44,392115.181,14150,1058,1710,14229,-229679.4872,817852.2587,14229,5413,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,7117.299,8474.208,797.9393539,-178.8778982,75,4,8,85,-1245.134099,976.8172521,85,83,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2013,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,1436939.712,805874.095,541103.076,241214.5296,8037,948,1392,8091,61933.2479,299888.5464,8091,3878,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,17576482.38,17615729.12,35194.07312,35194.07312,0,0,0,0,0,0,163045,3676,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,3740329.273,3090965.239,1332199.83,412715.3535,13821,903,1499,13873,-300411.4464,919484.4766,13873,4781,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,5271.434,6336.277,610.8788861,-130.7445196,74,5,15,86,-937.7401851,741.6234057,86,85,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2014,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,1022919.924,578801.173,368863.2262,165437.2206,6344,714,1082,6385,44729.82532,203426.0056,6385,2969,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,,21146588.21,21208019.61,37382.80533,37382.80533,0,0,0,0,0,0,165564,3916,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,0-1,3789928.244,3150750.677,1292680.48,399315.3962,13471,760,1144,13512,-294391.9898,893365.0841,13512,4392,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,<0,13672.334,16745.29,2062.174208,-293.3103722,44,8,8,58,-2795.450139,2355.484581,58,58,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FRUIT JUICE FRESH,2015,Hyper+Super Markets,BEVERAGES - NON ALCOHOLIC,>1,825483.887,473626.411,296538.8085,132407.7895,5588,415,700,5624,34480.66528,164131.019,5624,2456,-1.675405543,-0.982113289,0.364352192,0.154363108,0.209134105
FURNITURE POLISH,2013,Hyper+Super Markets,HOMECARE,,25747643.42,25755463.4,52528.72769,52528.72769,0,0,0,0,0,0,429135,4288,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2013,Hyper+Super Markets,HOMECARE,0-1,1944953.52,1709452.181,480530.2577,142888.3863,11058,643,1415,11140,-123309.2921,337641.8715,11140,4063,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2013,Hyper+Super Markets,HOMECARE,<0,11491.199,14948.489,2046.771212,-300.1004482,108,15,14,126,-2797.022333,2346.87166,126,122,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2013,Hyper+Super Markets,HOMECARE,>1,1291542.373,660627.327,509429.2192,234205.24,8737,1005,1776,8808,76083.88076,275223.9792,8808,3937,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2014,Hyper+Super Markets,HOMECARE,,24123592.94,24174949.28,45883.5352,45883.5352,0,0,0,0,0,0,411937,4076,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2014,Hyper+Super Markets,HOMECARE,0-1,1857369.458,1640750.274,446013.5499,132840.987,12130,607,1431,12237,-113911.0825,313172.5629,12237,4071,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2014,Hyper+Super Markets,HOMECARE,<0,8535.021,10560.136,938.6136908,-291.8929603,126,18,25,155,-1668.346092,1230.506651,155,148,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2014,Hyper+Super Markets,HOMECARE,>1,1149357.585,625382.349,430421.7866,196876.3481,8947,866,1653,9035,61769.08355,233545.4385,9035,3706,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2015,Hyper+Super Markets,HOMECARE,,22262995.54,22214855.6,67493.3778,67493.3778,0,0,0,0,0,0,397499,4083,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2015,Hyper+Super Markets,HOMECARE,0-1,1859100.512,1621020.472,449104.3131,136978.5002,12747,707,1592,12855,-106658.0626,312125.8129,12855,4153,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2015,Hyper+Super Markets,HOMECARE,<0,9445.911,11342.418,925.0320339,-252.440266,119,22,16,150,-1556.132699,1177.4723,150,145,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
FURNITURE POLISH,2015,Hyper+Super Markets,HOMECARE,>1,1273384.055,681750.731,480360.3027,220354.688,10153,1050,1928,10269,70526.41739,260005.6146,10269,4158,-1.459522207,-1.067738132,0.434037376,0.240982205,0.147749414
GIN,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,9222832.4,9177200.008,28021.40949,28021.40949,0,0,0,0,0,0,70111,883,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,638490.54,528639.823,162006.2068,52061.1448,1374,77,251,1388,-31853.34478,109945.062,1388,576,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,6997.299,8716.199,857.5737381,-243.0017894,41,1,4,44,-1465.078212,1100.575528,44,42,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2013,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,639267.421,351858.787,227311.0046,102663.5695,1491,159,381,1500,29347.91919,124647.4351,1500,709,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,9933830.604,9902915.091,25418.25998,25418.25998,0,0,0,0,0,0,86168,1177,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,612786.114,499343.123,169419.7747,55556.35607,1435,94,245,1461,-30528.88451,113863.4186,1461,711,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,3131.722,4106.272,306.2093457,-172.1816933,26,0,3,28,-736.663579,478.391039,28,27,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2014,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,837635.263,429963.96,309109.206,143512.6049,1952,260,442,1978,49672.30612,165596.6012,1978,948,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,,11539702.03,11431484.64,49008.31856,49008.31856,0,0,0,0,0,0,94315,1388,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,0-1,793356.097,660308.894,208482.9539,66147.88604,1780,121,250,1804,-43113.23881,142335.0679,1804,731,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,<0,5363.341,6690.165,496.3653604,-220.5636285,16,6,3,23,-1047.774432,716.9289889,23,23,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
GIN,2015,Hyper+Super Markets,BEVERAGES - ALCOHOLIC,>1,1123703.659,588588.929,414060.4193,189856.8133,2194,328,503,2230,60581.61388,224203.606,2230,1001,-1.299366031,-2.120207872,0.235950192,0.132414992,0.141952221
HAIR COLORATION,2013,Hyper+Super Markets,HBA,,75105073.02,73672719.59,557704.2839,557704.2839,0,0,0,0,0,0,2172923,31748,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2013,Hyper+Super Markets,HBA,0-1,4888456.005,4099541.055,1250171.725,407518.1421,51517,5712,12079,53613,-231376.3698,842653.583,53613,30050,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2013,Hyper+Super Markets,HBA,<0,106344.589,140006.238,10288.1994,-5535.15814,2243,171,208,2394,-24126.09475,15823.35754,2394,2252,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2013,Hyper+Super Markets,HBA,>1,15825059.02,7942688.884,5831758.813,2788680.235,106915,15999,34117,109992,1139941.774,3043078.578,109992,51498,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2014,Hyper+Super Markets,HBA,,70146666.69,68690418.28,583276.0732,583276.0732,0,0,0,0,0,0,2232986,33499,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2014,Hyper+Super Markets,HBA,0-1,4973402.973,4166656.372,1340298.903,437787.1873,60826,5431,12101,63111,-245830.9348,902511.7159,63111,32582,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2014,Hyper+Super Markets,HBA,<0,102089.163,135133.45,10206.83683,-5336.233028,2338,138,192,2500,-23547.4194,15543.06986,2500,2337,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2014,Hyper+Super Markets,HBA,>1,16385180.2,8051321.139,6190001.48,2966491.316,118453,16031,36067,121844,1226226.81,3223510.164,121844,54667,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2015,Hyper+Super Markets,HBA,,66612115.08,64884747.29,636306.3669,636306.3669,0,0,0,0,0,0,2363234,32361,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2015,Hyper+Super Markets,HBA,0-1,4391706.972,3645978.439,1177145.257,390920.5913,54707,4740,11288,56589,-199843.7786,786224.6655,56589,29585,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2015,Hyper+Super Markets,HBA,<0,67515.406,88669.183,6849.213344,-3375.104446,1662,88,130,1761,-15286.97446,10224.31779,1761,1689,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR COLORATION,2015,Hyper+Super Markets,HBA,>1,15481680.43,7590964.322,5901032.377,2820796.806,116186,15596,36874,119923,1150959.638,3080235.571,119923,54471,-1.276297587,-0.944735494,0.317538424,0.231185923,0.182911336
HAIR CONDITIONER,2013,Hyper+Super Markets,HBA,,61950119.31,59910309.62,690482.8526,690482.8526,0,0,0,0,0,0,2276363,37515,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2013,Hyper+Super Markets,HBA,0-1,7070796.813,5229682.48,2931269.558,1028405.27,78867,10408,20062,81427,-360256.3835,1902864.288,81427,41823,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2013,Hyper+Super Markets,HBA,<0,67512.764,93051.197,7154.602732,-4108.173763,1781,192,225,1976,-17425.03714,11262.7765,1976,1896,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2013,Hyper+Super Markets,HBA,>1,18095596.51,7500341.243,8894585.527,4103009.584,128933,24882,46242,132701,1362938.433,4791575.943,132701,64693,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2014,Hyper+Super Markets,HBA,,58904673.3,56507162.51,794533.9776,794533.9776,0,0,0,0,0,0,2311766,38761,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2014,Hyper+Super Markets,HBA,0-1,7419091.913,5514719.288,3036792.232,1064577.329,86530,9994,20837,89050,-375348.91,1972214.903,89050,43934,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2014,Hyper+Super Markets,HBA,<0,59802.08,81119.189,6536.498296,-3306.239342,1719,192,173,1925,-14802.09665,9842.737638,1925,1853,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2014,Hyper+Super Markets,HBA,>1,18568891.07,7755312.794,9040946.895,4178970.942,139596,24197,48422,143415,1406480.46,4861975.953,143415,66945,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2015,Hyper+Super Markets,HBA,,58488701.2,56150803.33,765521.2119,765521.2119,0,0,0,0,0,0,2465381,42132,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2015,Hyper+Super Markets,HBA,0-1,7812168.336,5832977.17,3185796.575,1112652.232,88286,9970,20840,90697,-404165.9938,2073144.342,90697,43973,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2015,Hyper+Super Markets,HBA,<0,67165.227,90417.399,7094.258369,-3724.765923,1713,194,208,1944,-16406.17318,10819.02429,1944,1872,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR CONDITIONER,2015,Hyper+Super Markets,HBA,>1,17545380.47,7491375.819,8398715.896,3882266.469,137311,22331,44944,141682,1306950.277,4516449.426,141682,64933,-1.740096058,-0.992107936,0.403831742,0.298478341,0.187571915
HAIR SHAMPOO,2013,Hyper+Super Markets,HBA,,132850939,126881611.9,1950968.389,1950968.389,0,0,0,0,0,0,3072693,56299,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
HAIR SHAMPOO,2013,Hyper+Super Markets,HBA,0-1,21312978.56,14893054.76,9882384.746,3543414.497,145512,20505,43169,148691,-1023848.503,6338970.249,148691,71037,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
HAIR SHAMPOO,2013,Hyper+Super Markets,HBA,<0,163110.079,235582.9,14720.23479,-12694.46588,2580,300,345,2923,-46456.3995,27414.70068,2923,2790,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
HAIR SHAMPOO,2013,Hyper+Super Markets,HBA,>1,55579773.55,20757254.39,30167833.66,13795214.24,240695,51552,95376,245693,4320201.938,16372619.42,245693,113724,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
HAIR SHAMPOO,2014,Hyper+Super Markets,HBA,,125486740.8,119941859.2,1849980.505,1849980.505,0,0,0,0,0,0,3190179,61216,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
HAIR SHAMPOO,2014,Hyper+Super Markets,HBA,0-1,22334536.95,15593872.53,10449002.06,3748745.653,165200,21950,47287,168623,-1077137.928,6700256.408,168623,79331,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
HAIR SHAMPOO,2014,Hyper+Super Markets,HBA,<0,193769.065,304391.532,12728.27703,-20937.44045,2954,425,449,3440,-65071.87815,33665.71748,3440,3316,-2.238051466,-1.206880755,0.455299545,0.275463013,0.195515373
