dim_product_eurocategory_desc,dim_period_year_desc,dim_market_channel_desc,dim_product_super_group_desc,dim_roi_range_desc,value,baseline_value,trade_spend_total,trade_spend_incl_cogs,number_of_tpr_weeks,number_of_display_weeks,number_of_feature_weeks,number_of_event_weeks,mfr_roi_value,trade_direct_promo_spend,number_of_weeks,number_of_records,PPI,BP,FEDI,DISO,FEAO
ADULT INCONTINENCE,2015,Hyper+Super Markets,PAPER PROD.,,51212764.03,48471919.81,828212.8029,828212.8029,0,0,0,0,0,0,359160,6328,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2015,Hyper+Super Markets,PAPER PROD.,0-1,6243905.066,5531323.38,1602001.636,451806.4029,16787,1413,3052,16916,-472485.6293,1150195.234,16916,6548,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2015,Hyper+Super Markets,PAPER PROD.,<0,30878.79,36640.137,3557.740453,-688.6739267,174,26,43,227,-5279.425269,4246.414379,227,224,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADULT INCONTINENCE,2015,Hyper+Super Markets,PAPER PROD.,>1,1768419.934,656547.145,692143.4131,369172.2408,12355,1047,2426,12517,230787.1889,322971.1723,12517,5064,-1.277752705,-0.855400471,0.257175934,0.099683606,0.117162467
ADW DETERGENT,2013,Hyper+Super Markets,HOMECARE,,103295714.5,95622359.91,2414429.352,2414429.352,0,0,0,0,0,0,682068,14244,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2013,Hyper+Super Markets,HOMECARE,0-1,8451533.25,6528490.472,3436786.054,1160693.116,19868,2699,3868,20430,-535053.2642,2276092.938,20430,9713,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2013,Hyper+Super Markets,HOMECARE,<0,378266.46,737769.177,-3054.713805,-73670.57328,559,157,87,704,-181121.7194,70615.85947,704,639,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2013,Hyper+Super Markets,HOMECARE,>1,35195932.22,11136612.44,18095174.99,8890441.88,50023,10514,15645,51064,4130929.711,9204733.109,51064,23212,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2014,Hyper+Super Markets,HOMECARE,,100739310.1,88845493.92,3488916.902,3488916.902,0,0,0,0,0,0,747239,16551,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
ADW DETERGENT,2014,Hyper+Super Markets,HOMECARE,0-1,7913766.765,6182372.709,3211449.327,1070335.675,21159,2670,3858,21698,-535610.1405,2141113.652,21698,10612,-2.722469304,-2.274696081,0.474535848,0.279776879,0.227643141
